experiment_id,iteration,source,model,model_safe,temperature,env_id,mean_reward,std_reward,min_reward,max_reward,total_env_steps,n_failures,best_mean_reward_so_far,best_iteration_so_far,is_best,status,policy_path,trace_path,prompt_path,eval_path
refine_Pendulum-v1_llama3_1_8b_20260626_161157,0,best_one_shot,llama3.1:8b,llama3_1_8b,0.4,Pendulum-v1,-1184.0248940708968,236.40123672558187,,,0,0,-1184.0248940708968,0,True,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/policies/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter000_initial_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_one_shot/pendulum/llama3_1_8b/sensory_motor_traces/one_shot_Pendulum-v1_llama3_1_8b_temp0.4_attempt2_20260626_155152_trace.jsonl,,
refine_Pendulum-v1_llama3_1_8b_20260626_161157,1,refinement,llama3.1:8b,llama3_1_8b,0.4,Pendulum-v1,-1543.358999162287,80.42336437260514,-1625.8272751210052,-1369.4612070587991,2000,0,-1184.0248940708968,0,False,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/policies/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter001_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/sensory_motor_traces/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter001_trace.jsonl,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/prompts/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter001_prompt4.txt,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/eval_logs/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter001_eval.json
refine_Pendulum-v1_llama3_1_8b_20260626_161157,2,refinement,llama3.1:8b,llama3_1_8b,0.4,Pendulum-v1,-1303.4479637462202,130.75990503246587,-1497.707105487429,-1071.7497740119345,2000,0,-1184.0248940708968,0,False,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/policies/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter002_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/sensory_motor_traces/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter002_trace.jsonl,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/prompts/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter002_prompt4.txt,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/eval_logs/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter002_eval.json
refine_Pendulum-v1_llama3_1_8b_20260626_161157,3,refinement,llama3.1:8b,llama3_1_8b,0.4,Pendulum-v1,-1202.6703526615804,417.6028270055159,-1497.707105487429,-3.9829953116518086,2000,0,-1184.0248940708968,0,False,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/policies/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter003_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/sensory_motor_traces/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter003_trace.jsonl,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/prompts/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter003_prompt4.txt,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/eval_logs/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter003_eval.json
refine_Pendulum-v1_llama3_1_8b_20260626_161157,4,refinement,llama3.1:8b,llama3_1_8b,0.4,Pendulum-v1,-1294.5970874884656,127.74040627625948,-1497.707105487429,-1071.7497740119345,2000,0,-1184.0248940708968,0,False,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/policies/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter004_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/sensory_motor_traces/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter004_trace.jsonl,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/prompts/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter004_prompt4.txt,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/eval_logs/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter004_eval.json
refine_Pendulum-v1_llama3_1_8b_20260626_161157,5,refinement,llama3.1:8b,llama3_1_8b,0.4,Pendulum-v1,-1403.7359092302895,150.9576965141366,-1731.9724513298158,-1195.5807060485015,2000,0,-1184.0248940708968,0,False,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/policies/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter005_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/sensory_motor_traces/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter005_trace.jsonl,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/prompts/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter005_prompt4.txt,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/eval_logs/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter005_eval.json
refine_Pendulum-v1_llama3_1_8b_20260626_161157,6,refinement,llama3.1:8b,llama3_1_8b,0.4,Pendulum-v1,-1606.3167264890928,27.42698297531497,-1651.8109436285465,-1565.073530621198,2000,0,-1184.0248940708968,0,False,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/policies/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter006_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/sensory_motor_traces/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter006_trace.jsonl,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/prompts/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter006_prompt4.txt,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/eval_logs/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter006_eval.json
refine_Pendulum-v1_llama3_1_8b_20260626_161157,7,refinement,llama3.1:8b,llama3_1_8b,0.4,Pendulum-v1,-1574.7127570425764,70.73618650933302,-1632.437493254145,-1379.8890714414197,2000,0,-1184.0248940708968,0,False,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/policies/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter007_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/sensory_motor_traces/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter007_trace.jsonl,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/prompts/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter007_prompt4.txt,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/eval_logs/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter007_eval.json
refine_Pendulum-v1_llama3_1_8b_20260626_161157,8,refinement,llama3.1:8b,llama3_1_8b,0.4,Pendulum-v1,-1565.27764068763,74.62123878828737,-1632.437493254145,-1379.8890714414197,2000,0,-1184.0248940708968,0,False,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/policies/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter008_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/sensory_motor_traces/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter008_trace.jsonl,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/prompts/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter008_prompt4.txt,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/eval_logs/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter008_eval.json
refine_Pendulum-v1_llama3_1_8b_20260626_161157,9,refinement,llama3.1:8b,llama3_1_8b,0.4,Pendulum-v1,-1456.56200854156,134.73241159063377,-1615.5413097372652,-1189.2794032922943,2000,0,-1184.0248940708968,0,False,valid,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/policies/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter009_policy.py,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/sensory_motor_traces/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter009_trace.jsonl,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/prompts/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter009_prompt4.txt,/home/jarnedemoen/Documents/LLM_Policy_vs_RL_Control/results/llm_refinement/pendulum/llama3_1_8b/eval_logs/refine_Pendulum-v1_llama3_1_8b_20260626_161157_iter009_eval.json
